luse,stext,ki,kr,shcrit,avke,ksflag,ksatadj,ksatfac,ksatrec,pmet_kcb,pmet_rawp,rdmax,xmxlai,keffflag,lkeff
bare,all,900000,6.00E-05,3.5,6,0,1,100,0.3,0.95,0.8,0.2,9,1,0.1
forest high sev fire,all,2000000,0.0004,3.5,14,0,1,100,0.3,0.95,0.8,0.3,2,1,0.1
forest moderate sev fire,all,1500000,0.0002,3.5,18,0,0,1.3,0.3,0.95,0.8,0.3,4,1,1
forest low sev fire,all,1500000,0.0002,3.5,18,0,0,1.3,0.3,0.95,0.8,0.3,4,1,10
forest prescribed fire,all,1500000,5.00E-05,3.5,18,0,0,1.3,0.3,0.95,0.8,0.5,10,1,10
grass high sev fire,all,1500000,6.00E-05,3.5,14,0,1,100,0.3,0.95,0.8,0.2,2,1,1
grass moderate sev fire,all,1500000,5.00E-05,3.5,18,0,0,1.3,0.3,0.95,0.8,0.3,4,1,1
grass low sev fire,all,1500000,5.00E-05,3.5,18,0,0,1.3,0.3,0.95,0.8,0.3,4,1,10
grass prescribed fire,all,1500000,5.00E-05,3.5,18,0,0,1.3,0.3,0.95,0.8,0.4,3,1,10
short grass,all,900000,6.00E-05,3.5,20,0,0,1.5,0.3,0.95,0.8,0.3,4,0,-9999
shrub,all,600000,4.00E-05,3.5,28,0,0,1.5,0.3,0.95,0.8,0.5,5,0,-9999
shrub high sev fire,all,1500000,6.00E-05,3.5,14,0,1,100,0.3,0.95,0.8,0.2,1,1,1
shrub moderate sev fire,all,1500000,5.00E-05,3.5,18,0,0,1.3,0.3,0.95,0.8,0.2,2,1,1
shrub low sev fire,all,1500000,5.00E-05,3.5,18,0,0,1.3,0.3,0.95,0.8,0.2,2,1,10
shrub prescribed fire,all,1500000,5.00E-05,3.5,18,0,0,1.3,0.3,0.95,0.8,0.3,4,0,10
skid,all,600000,0.0008,3.5,6,0,0,100,0.3,0.95,0.8,0.2,4,0,-9999
high use skid,all,600000,0.0008,3.5,6,0,0,100,0.3,0.95,0.8,0.2,2,0,-9999
tall grass,all,1500000,4.00E-05,3.5,24,0,0,1.5,0.3,0.95,0.8,0.4,5,0,-9999
forest,all,400000,2.00E-05,3.5,35,0,0,1.5,0.3,0.95,0.8,2,14,0,-9999
low or treated skid,all,400000,3.00E-05,3.5,33,0,0,1.3,0.3,0.95,0.8,0.2,4,0,-9999
young forest,all,700000,3.00E-05,3.5,33,0,0,1.5,0.3,0.95,0.8,1,10,0,-9999
thinning,all,500000,0.00003,3.5,33,0,0,1.3,0.3,0.95,0.8,0.6,12,0,-9999
mulch,all,500000,0.00003,3.5,33,0,0,1.5,0.3,0.95,0.8,1,3,0,-9999
agriculture crops,all,,,,,1,0,0,0,0.95,0.8,,,0,-9999